gen,trial_id,nap,tph_qkv,tph_op,n_params,val_loss,origin
36,431,4,134,134,496704,2.167166,crossover
36,432,4,134,134,496704,2.187794,random
36,433,5,67,67,496704,2.255636,random
36,434,4,134,134,496704,2.226130,random
36,435,4,134,134,496704,2.180677,random
37,436,4,134,134,496704,2.173847,mutate
37,437,4,134,134,496704,2.211278,mutate
37,438,4,134,134,496704,2.184537,mutate
37,439,4,134,134,496704,2.163393,mutate
37,440,4,134,134,496704,2.253911,crossover
37,441,4,134,134,496704,2.199841,crossover
37,442,4,134,134,496704,2.189759,crossover
37,443,4,134,134,496704,2.153490,crossover
37,444,4,134,134,496704,2.209173,random
37,445,6,33,33,489536,2.205040,random
37,446,4,134,134,496704,2.188199,random
37,447,4,134,134,496704,2.168963,random
38,448,4,134,134,496704,2.162327,mutate
38,449,4,134,134,496704,2.168118,mutate
38,450,4,134,134,496704,2.176764,mutate
38,451,4,134,134,496704,2.166094,mutate
38,452,4,134,134,496704,2.150254,crossover
38,453,4,134,134,496704,2.227147,crossover
38,454,4,134,134,496704,2.170582,crossover
38,455,4,134,134,496704,2.194555,crossover
38,456,5,67,67,496704,2.186818,random
38,457,4,134,134,496704,2.204712,random
38,458,4,134,134,496704,2.134375,random
38,459,4,134,134,496704,2.130796,random
39,460,4,134,134,496704,2.195045,mutate
39,461,4,134,134,496704,2.161528,mutate
39,462,4,134,134,496704,2.214123,mutate
39,463,4,134,134,496704,2.164499,mutate
39,464,4,134,134,496704,2.162145,crossover
39,465,4,134,134,496704,2.167876,crossover
39,466,4,134,134,496704,2.196342,crossover
39,467,4,134,134,496704,2.156189,crossover
39,468,4,134,134,496704,2.177726,random
39,469,6,33,33,489536,2.243309,random
39,470,6,33,33,489536,2.248232,random
39,471,4,134,134,496704,2.175036,random
40,472,4,134,134,496704,2.183994,mutate
40,473,4,134,134,496704,2.231164,mutate
40,474,4,134,134,496704,2.199965,mutate
40,475,4,134,134,496704,2.180448,mutate
40,476,4,134,134,496704,2.171108,crossover
40,477,4,134,134,496704,2.210173,crossover
40,478,4,134,134,496704,2.148780,crossover
40,479,4,134,134,496704,2.187908,crossover
40,480,6,33,33,489536,2.234168,random
40,481,4,134,134,496704,2.166369,random
40,482,4,134,134,496704,2.179481,random
40,483,5,67,67,496704,2.192978,random
41,484,4,134,134,496704,2.183290,mutate
41,485,4,134,134,496704,2.188949,mutate
41,486,4,134,134,496704,2.145830,mutate
41,487,4,134,134,496704,2.164242,mutate
41,488,4,134,134,496704,2.131799,crossover
41,489,4,134,134,496704,2.209201,crossover
41,490,4,134,134,496704,2.145919,crossover
41,491,4,134,134,496704,2.202948,crossover
41,492,4,134,134,496704,2.172121,random
41,493,4,134,134,496704,2.218953,random
41,494,5,67,67,496704,2.198662,random
41,495,5,67,67,496704,2.214663,random
42,496,4,134,134,496704,2.169419,mutate
42,497,4,134,134,496704,2.178446,mutate
42,498,4,134,134,496704,2.165595,mutate
42,499,4,134,134,496704,2.138191,mutate
42,500,4,134,134,496704,2.177518,crossover
42,501,4,134,134,496704,2.181344,crossover
42,502,4,134,134,496704,2.158167,crossover
42,503,4,134,134,496704,2.173547,crossover
42,504,6,33,33,489536,2.229077,random
42,505,6,33,33,489536,2.241410,random
42,506,5,67,67,496704,2.186962,random
42,507,6,33,33,489536,2.282011,random
43,508,4,134,134,496704,2.146413,mutate
43,509,4,134,134,496704,2.206922,mutate
43,510,4,134,134,496704,2.170126,mutate
43,511,4,134,134,496704,2.202937,mutate
43,512,4,134,134,496704,2.225057,crossover
43,513,4,134,134,496704,2.203519,crossover
43,514,4,134,134,496704,2.180258,crossover
43,515,4,134,134,496704,2.186021,crossover
43,516,6,33,33,489536,2.213139,random
43,517,6,33,33,489536,2.260418,random
43,518,4,134,134,496704,2.172537,random
43,519,5,67,67,496704,2.241528,random
44,520,4,134,134,496704,2.156576,mutate
44,521,4,134,134,496704,2.150896,mutate
44,522,4,134,134,496704,2.170082,mutate
44,523,4,134,134,496704,2.188370,mutate
44,524,4,134,134,496704,2.151621,crossover
44,525,4,134,134,496704,2.193835,crossover
44,526,4,134,134,496704,2.174094,crossover
44,527,4,134,134,496704,2.151728,crossover
44,528,6,33,33,489536,2.274773,random
44,529,4,134,134,496704,2.202955,random
44,530,4,134,134,496704,2.183085,random
44,531,6,33,33,489536,2.228044,random
45,532,4,134,134,496704,2.176188,mutate
45,533,4,134,134,496704,2.207088,mutate
45,534,4,134,134,496704,2.213758,mutate
45,535,4,134,134,496704,2.174585,mutate
45,536,4,134,134,496704,2.213544,crossover
45,537,4,134,134,496704,2.204123,crossover
45,538,4,134,134,496704,2.173651,crossover
45,539,4,134,134,496704,2.125647,crossover
45,540,6,33,33,489536,2.284931,random
45,541,4,134,134,496704,2.197244,random
45,542,4,134,134,496704,2.204879,random
45,543,4,134,134,496704,2.221732,random
46,544,4,134,134,496704,2.171069,mutate
46,545,4,134,134,496704,2.178145,mutate
46,546,4,134,134,496704,2.195169,mutate
46,547,4,134,134,496704,2.177045,mutate
46,548,4,134,134,496704,2.188506,crossover
46,549,4,134,134,496704,2.150779,crossover
46,550,4,134,134,496704,2.146420,crossover
46,551,4,134,134,496704,2.199337,crossover
46,552,4,134,134,496704,2.179407,random
46,553,4,134,134,496704,2.205840,random
46,554,4,134,134,496704,2.194456,random
46,555,4,134,134,496704,2.198872,random
47,556,4,134,134,496704,2.177208,mutate
47,557,4,134,134,496704,2.177987,mutate
47,558,4,134,134,496704,2.158597,mutate
47,559,4,134,134,496704,2.151679,mutate
47,560,4,134,134,496704,2.210369,crossover
47,561,4,134,134,496704,2.190953,crossover
47,562,4,134,134,496704,2.137160,crossover
47,563,4,134,134,496704,2.189558,crossover
47,564,4,134,134,496704,2.206421,random
47,565,6,33,33,489536,2.221304,random
47,566,6,33,33,489536,2.267330,random
47,567,4,134,134,496704,2.154829,random
48,568,4,134,134,496704,2.180616,mutate
48,569,4,134,134,496704,2.177153,mutate
48,570,4,134,134,496704,2.190540,mutate
48,571,4,134,134,496704,2.147005,mutate
48,572,4,134,134,496704,2.213853,crossover
48,573,4,134,134,496704,2.180624,crossover
48,574,4,134,134,496704,2.142653,crossover
48,575,4,134,134,496704,2.189034,crossover
48,576,4,134,134,496704,2.190561,random
48,577,5,67,67,496704,2.212328,random
48,578,6,33,33,489536,2.215797,random
48,579,4,134,134,496704,2.193918,random
49,580,4,134,134,496704,2.143462,mutate
49,581,4,134,134,496704,2.209935,mutate
49,582,4,134,134,496704,2.170104,mutate
49,583,4,134,134,496704,2.139638,mutate
49,584,4,134,134,496704,2.163555,crossover
49,585,4,134,134,496704,2.148722,crossover
49,586,4,134,134,496704,2.190336,crossover
49,587,4,134,134,496704,2.168359,crossover
49,588,5,67,67,496704,2.187653,random
49,589,6,33,33,489536,2.195913,random
49,590,5,67,67,496704,2.218147,random
49,591,6,33,33,489536,2.241212,random
50,592,4,134,134,496704,2.182894,mutate
50,593,4,134,134,496704,2.169237,mutate
50,594,4,134,134,496704,2.172315,mutate
50,595,4,134,134,496704,2.194232,mutate
50,596,4,134,134,496704,2.212336,crossover
50,597,4,134,134,496704,2.164726,crossover
50,598,4,134,134,496704,2.177638,crossover
50,599,4,134,134,496704,2.184820,crossover
50,600,4,134,134,496704,2.161075,random
50,601,4,134,134,496704,2.141844,random
50,602,4,134,134,496704,2.186251,random
50,603,4,134,134,496704,2.199115,random
51,604,4,134,134,496704,2.176649,mutate
51,605,4,134,134,496704,2.169520,mutate
51,606,4,134,134,496704,2.183894,mutate
51,607,4,134,134,496704,2.144895,mutate
51,608,4,134,134,496704,2.173409,crossover
51,609,4,134,134,496704,2.153001,crossover
51,610,4,134,134,496704,2.164315,crossover
51,611,4,134,134,496704,2.185806,crossover
51,612,4,134,134,496704,2.172734,random
51,613,5,67,67,496704,2.230560,random
51,614,5,67,67,496704,2.256081,random
51,615,5,67,67,496704,2.217086,random
52,616,4,134,134,496704,2.198537,mutate
52,617,4,134,134,496704,2.156277,mutate
52,618,4,134,134,496704,2.184844,mutate
52,619,4,134,134,496704,2.205709,mutate
52,620,4,134,134,496704,2.124444,crossover
52,621,4,134,134,496704,2.165015,crossover
52,622,4,134,134,496704,2.183123,crossover
52,623,4,134,134,496704,2.194726,crossover
52,624,6,33,33,489536,2.223732,random
52,625,5,67,67,496704,2.202209,random
52,626,4,134,134,496704,2.155845,random
52,627,5,67,67,496704,2.215750,random
53,628,4,134,134,496704,2.141765,mutate
53,629,4,134,134,496704,2.171347,mutate
53,630,4,134,134,496704,2.217301,mutate
53,631,4,134,134,496704,2.151405,mutate
53,632,4,134,134,496704,2.191906,crossover
53,633,4,134,134,496704,2.196700,crossover
53,634,4,134,134,496704,2.156951,crossover
53,635,4,134,134,496704,2.167735,crossover
53,636,5,67,67,496704,2.178990,random
53,637,5,67,67,496704,2.175957,random
53,638,4,134,134,496704,2.196916,random
53,639,4,134,134,496704,2.166751,random
54,640,4,134,134,496704,2.186203,mutate
54,641,4,134,134,496704,2.164444,mutate
54,642,4,134,134,496704,2.211664,mutate
54,643,4,134,134,496704,2.243404,mutate
54,644,4,134,134,496704,2.213312,crossover
54,645,4,134,134,496704,2.142128,crossover
54,646,4,134,134,496704,2.164883,crossover
54,647,4,134,134,496704,2.147950,crossover
