step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
31000,3.482757,1.146721,12.720654,16.381811,17.065166,17.301437,17.903267,19.721174,0.648534,0.834949,0.869773,0.882062,0.912776,1.005021,9.077803,18.207973,14.559278,18.539352,19.141409,26.564985,0.12505706,0.27901942,0.29499164,0.32559335,0.40364960,0.61342102
31500,3.479316,1.146012,12.715960,16.375284,17.065899,17.302753,17.906258,19.727230,0.648287,0.834610,0.869802,0.882120,0.912926,1.005317,9.069674,18.207853,14.558429,18.552820,19.157457,26.615486,0.12352185,0.27572432,0.29306579,0.32181481,0.39909711,0.60889328
32000,3.475856,1.144988,12.712663,16.369549,17.065371,17.303511,17.908733,19.735573,0.648107,0.834316,0.869763,0.882159,0.913051,1.005740,9.061065,18.211327,14.556047,18.572187,19.171780,26.658863,0.12157791,0.27392411,0.29022846,0.31844988,0.39512813,0.60345381
32500,3.464838,1.144993,12.710061,16.368811,17.066927,17.301085,17.911072,19.742525,0.647974,0.834266,0.869843,0.882032,0.913168,1.006082,9.057953,18.212523,14.554076,18.588070,19.188585,26.703539,0.11997920,0.27128154,0.28873551,0.31528053,0.39096192,0.59864622
33000,3.447186,1.144979,12.709327,16.369921,17.067299,17.304302,17.916622,19.750744,0.647938,0.834317,0.869853,0.882189,0.913439,1.006492,9.049553,18.215611,14.552786,18.599894,19.206499,26.744547,0.11840983,0.26923466,0.28612894,0.31299770,0.38620803,0.59400469
33500,3.436496,1.144508,12.707714,16.370403,17.072104,17.306662,17.922464,19.756346,0.647856,0.834335,0.870088,0.882306,0.913736,1.006773,9.048051,18.216352,14.554728,18.616770,19.223539,26.785358,0.11679266,0.26726511,0.28319848,0.30963835,0.38358238,0.58854073
34000,3.436568,1.144214,12.709408,16.369978,17.076008,17.311106,17.928873,19.766195,0.647943,0.834317,0.870286,0.882529,0.914060,1.007269,9.042680,18.218935,14.553782,18.630764,19.237177,26.824411,0.11523966,0.26503128,0.28087866,0.30654362,0.38086686,0.58500886
34500,3.427679,1.142723,12.712253,16.368862,17.079807,17.317568,17.932703,19.773369,0.648085,0.834255,0.870477,0.882857,0.914247,1.007628,9.045225,18.221090,14.552197,18.644751,19.253325,26.862658,0.11367273,0.26315728,0.27839714,0.30367011,0.37755287,0.58134109
35000,3.432557,1.144468,12.713603,16.372250,17.086197,17.320045,17.938227,19.779831,0.648144,0.834423,0.870801,0.882977,0.914525,1.007950,9.043000,18.224121,14.553629,18.663012,19.265991,26.899429,0.11212391,0.26126644,0.27587402,0.30127254,0.37392807,0.57635200
35500,3.422771,1.142258,12.717840,16.377193,17.091934,17.323223,17.944538,19.786907,0.648370,0.834676,0.871091,0.883136,0.914844,1.008305,9.046862,18.225948,14.554317,18.676310,19.280924,26.933556,0.11051530,0.25886309,0.27315110,0.29894406,0.37137690,0.57287472
