step,layer,group,nominal_lr,adam_factor_rms,eff_step_rms,n_params
1400,2,temps,2.954000e-04,4.693862e-01,1.386567e-04,8
1400,2,v_lut,9.846666e-04,2.095130e-01,2.063004e-04,1572864
1400,3,norms,2.954000e-04,2.194756e-01,6.483308e-05,512
1400,3,out_proj,9.846666e-04,2.153364e-01,2.120346e-04,4194304
1400,3,qkv_lut,9.846666e-04,2.215578e-01,2.181606e-04,3538944
1400,3,residual_lut,9.846666e-04,2.185755e-01,2.152240e-04,3145728
1400,3,temps,2.954000e-04,5.115725e-01,1.511185e-04,8
1400,3,v_lut,9.846666e-04,1.993191e-01,1.962629e-04,1572864
1400,4,norms,2.954000e-04,2.004533e-01,5.921390e-05,512
1400,4,out_proj,9.846666e-04,2.174741e-01,2.141394e-04,4194304
1400,4,qkv_lut,9.846666e-04,2.177385e-01,2.143998e-04,3538944
1400,4,residual_lut,9.846666e-04,2.190874e-01,2.157281e-04,3145728
1400,4,temps,2.954000e-04,3.157089e-01,9.326041e-05,8
1400,4,v_lut,9.846666e-04,2.001483e-01,1.970793e-04,1572864
1400,5,norms,2.954000e-04,1.962299e-01,5.796631e-05,512
1400,5,out_proj,9.846666e-04,2.122148e-01,2.089608e-04,4194304
1400,5,qkv_lut,9.846666e-04,2.169794e-01,2.136524e-04,3538944
1400,5,residual_lut,9.846666e-04,2.184092e-01,2.150602e-04,3145728
1400,5,temps,2.954000e-04,2.953483e-01,8.724587e-05,8
1400,5,v_lut,9.846666e-04,1.989046e-01,1.958547e-04,1572864
1600,-1,norms,2.918585e-04,3.856906e-01,1.125671e-04,768
1600,-1,tok_emb,2.918585e-04,1.543853e-01,4.505867e-05,2097152
1600,-1,unembedder,2.918585e-04,2.260257e-01,6.596754e-05,12582912
1600,0,norms,2.918585e-04,2.097226e-01,6.120933e-05,512
1600,0,out_proj,9.728617e-04,2.145524e-01,2.087298e-04,4194304
1600,0,qkv_lut,9.728617e-04,2.186013e-01,2.126688e-04,3538944
1600,0,residual_lut,9.728617e-04,2.191382e-01,2.131912e-04,3145728
1600,0,temps,2.918585e-04,3.998970e-01,1.167133e-04,8
1600,0,v_lut,9.728617e-04,2.060399e-01,2.004483e-04,1572864
1600,1,norms,2.918585e-04,1.917784e-01,5.597215e-05,512
1600,1,out_proj,9.728617e-04,2.167240e-01,2.108424e-04,4194304
1600,1,qkv_lut,9.728617e-04,2.212096e-01,2.152064e-04,3538944
1600,1,residual_lut,9.728617e-04,2.198386e-01,2.138726e-04,3145728
1600,1,temps,2.918585e-04,4.042753e-01,1.179912e-04,8
1600,1,v_lut,9.728617e-04,2.094483e-01,2.037643e-04,1572864
1600,2,norms,2.918585e-04,1.788927e-01,5.221137e-05,512
1600,2,out_proj,9.728617e-04,2.172591e-01,2.113630e-04,4194304
1600,2,qkv_lut,9.728617e-04,2.227424e-01,2.166976e-04,3538944
1600,2,residual_lut,9.728617e-04,2.206334e-01,2.146458e-04,3145728
1600,2,temps,2.918585e-04,4.317515e-01,1.260103e-04,8
1600,2,v_lut,9.728617e-04,2.132642e-01,2.074766e-04,1572864
1600,3,norms,2.918585e-04,1.945958e-01,5.679443e-05,512
1600,3,out_proj,9.728617e-04,2.203511e-01,2.143712e-04,4194304
1600,3,qkv_lut,9.728617e-04,2.239897e-01,2.179110e-04,3538944
1600,3,residual_lut,9.728617e-04,2.205978e-01,2.146111e-04,3145728
1600,3,temps,2.918585e-04,4.136930e-01,1.207398e-04,8
1600,3,v_lut,9.728617e-04,2.090404e-01,2.033674e-04,1572864
1600,4,norms,2.918585e-04,1.978459e-01,5.774300e-05,512
1600,4,out_proj,9.728617e-04,2.148731e-01,2.090418e-04,4194304
1600,4,qkv_lut,9.728617e-04,2.251277e-01,2.190181e-04,3538944
1600,4,residual_lut,9.728617e-04,2.203154e-01,2.143364e-04,3145728
1600,4,temps,2.918585e-04,3.004104e-01,8.767732e-05,8
1600,4,v_lut,9.728617e-04,2.088041e-01,2.031375e-04,1572864
1600,5,norms,2.918585e-04,1.953757e-01,5.702206e-05,512
1600,5,out_proj,9.728617e-04,2.123181e-01,2.065561e-04,4194304
1600,5,qkv_lut,9.728617e-04,2.185980e-01,2.126656e-04,3538944
1600,5,residual_lut,9.728617e-04,2.196441e-01,2.136834e-04,3145728
1600,5,temps,2.918585e-04,2.941843e-01,8.586019e-05,8
1600,5,v_lut,9.728617e-04,1.974338e-01,1.920758e-04,1572864
1800,-1,norms,2.873516e-04,4.258807e-01,1.223775e-04,768
1800,-1,tok_emb,2.873516e-04,1.525973e-01,4.384908e-05,2097152
1800,-1,unembedder,2.873516e-04,2.262603e-01,6.501626e-05,12582912
1800,0,norms,2.873516e-04,2.025583e-01,5.820544e-05,512
1800,0,out_proj,9.578385e-04,2.192287e-01,2.099857e-04,4194304
1800,0,qkv_lut,9.578385e-04,2.211263e-01,2.118033e-04,3538944
1800,0,residual_lut,9.578385e-04,2.219355e-01,2.125784e-04,3145728
1800,0,temps,2.873516e-04,3.863440e-01,1.110165e-04,8
1800,0,v_lut,9.578385e-04,2.124111e-01,2.034555e-04,1572864
1800,1,norms,2.873516e-04,2.054170e-01,5.902688e-05,512
1800,1,out_proj,9.578385e-04,2.177905e-01,2.086082e-04,4194304
1800,1,qkv_lut,9.578385e-04,2.222148e-01,2.128459e-04,3538944
1800,1,residual_lut,9.578385e-04,2.212041e-01,2.118778e-04,3145728
1800,1,temps,2.873516e-04,4.096131e-01,1.177030e-04,8
1800,1,v_lut,9.578385e-04,2.119154e-01,2.029808e-04,1572864
1800,2,norms,2.873516e-04,2.031325e-01,5.837045e-05,512
1800,2,out_proj,9.578385e-04,2.162834e-01,2.071645e-04,4194304
1800,2,qkv_lut,9.578385e-04,2.246336e-01,2.151627e-04,3538944
1800,2,residual_lut,9.578385e-04,2.197873e-01,2.105207e-04,3145728
1800,2,temps,2.873516e-04,4.260873e-01,1.224368e-04,8
1800,2,v_lut,9.578385e-04,2.153776e-01,2.062969e-04,1572864
1800,3,norms,2.873516e-04,1.983156e-01,5.698628e-05,512
1800,3,out_proj,9.578385e-04,2.168263e-01,2.076846e-04,4194304
1800,3,qkv_lut,9.578385e-04,2.221895e-01,2.128216e-04,3538944
1800,3,residual_lut,9.578385e-04,2.199074e-01,2.106358e-04,3145728
1800,3,temps,2.873516e-04,3.852268e-01,1.106955e-04,8
1800,3,v_lut,9.578385e-04,2.012090e-01,1.927257e-04,1572864
1800,4,norms,2.873516e-04,1.861960e-01,5.350372e-05,512
1800,4,out_proj,9.578385e-04,2.192626e-01,2.100181e-04,4194304
1800,4,qkv_lut,9.578385e-04,2.187387e-01,2.095164e-04,3538944
1800,4,residual_lut,9.578385e-04,2.200959e-01,2.108164e-04,3145728
1800,4,temps,2.873516e-04,3.556488e-01,1.021962e-04,8
1800,4,v_lut,9.578385e-04,1.999385e-01,1.915088e-04,1572864
1800,5,norms,2.873516e-04,1.768510e-01,5.081841e-05,512
1800,5,out_proj,9.578385e-04,2.140462e-01,2.050217e-04,4194304
1800,5,qkv_lut,9.578385e-04,2.195006e-01,2.102462e-04,3538944
1800,5,residual_lut,9.578385e-04,2.183898e-01,2.091822e-04,3145728
1800,5,temps,2.873516e-04,2.342690e-01,6.731756e-05,8
1800,5,v_lut,9.578385e-04,1.969717e-01,1.886671e-04,1572864
2000,-1,norms,2.819134e-04,4.144670e-01,1.168438e-04,768
2000,-1,tok_emb,2.819134e-04,1.530951e-01,4.315957e-05,2097152
2000,-1,unembedder,2.819134e-04,2.170555e-01,6.119087e-05,12582912
2000,0,norms,2.819134e-04,2.190918e-01,6.176493e-05,512
2000,0,out_proj,9.397114e-04,2.164881e-01,2.034363e-04,4194304
2000,0,qkv_lut,9.397114e-04,2.230173e-01,2.095719e-04,3538944
2000,0,residual_lut,9.397114e-04,2.184664e-01,2.052954e-04,3145728
2000,0,temps,2.819134e-04,5.002739e-01,1.410339e-04,8
2000,0,v_lut,9.397114e-04,2.120105e-01,1.992287e-04,1572864
2000,1,norms,2.819134e-04,2.036246e-01,5.740451e-05,512
2000,1,out_proj,9.397114e-04,2.168382e-01,2.037653e-04,4194304
2000,1,qkv_lut,9.397114e-04,2.220066e-01,2.086221e-04,3538944
2000,1,residual_lut,9.397114e-04,2.193139e-01,2.060918e-04,3145728
2000,1,temps,2.819134e-04,3.707038e-01,1.045064e-04,8
2000,1,v_lut,9.397114e-04,2.077307e-01,1.952069e-04,1572864
2000,2,norms,2.819134e-04,2.015088e-01,5.680804e-05,512
2000,2,out_proj,9.397114e-04,2.173821e-01,2.042764e-04,4194304
2000,2,qkv_lut,9.397114e-04,2.249317e-01,2.113708e-04,3538944
2000,2,residual_lut,9.397114e-04,2.199646e-01,2.067033e-04,3145728
2000,2,temps,2.819134e-04,4.842701e-01,1.365222e-04,8
2000,2,v_lut,9.397114e-04,2.147201e-01,2.017749e-04,1572864
2000,3,norms,2.819134e-04,1.906080e-01,5.373496e-05,512
2000,3,out_proj,9.397114e-04,2.185466e-01,2.053707e-04,4194304
2000,3,qkv_lut,9.397114e-04,2.223996e-01,2.089915e-04,3538944
