step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
2400,L5.qkv_lut,0.9982,128.23,116,679,0.0013,0.9937,0.9723,0.8517
2400,L5.v_lut,0.9900,32.32,27,365,0.0061,0.9175,0.4089,0.0924
2400,L5.out_proj,0.9576,33.42,16,875,0.0493,0.6672,0.2921,0.1391
2400,L5.residual_lut,0.9082,140.94,122,848,0.0000,0.9077,0.8940,0.7964
2600,L0.qkv_lut,1.0000,128.00,101,695,0.0000,0.9990,0.9622,0.7795
2600,L0.v_lut,0.9903,32.31,20,549,0.0113,0.8468,0.3023,0.0938
2600,L0.out_proj,0.9713,32.94,20,692,0.0298,0.7600,0.3367,0.1374
2600,L0.residual_lut,0.9976,128.31,86,1245,0.0034,0.9675,0.8091,0.6150
2600,L1.qkv_lut,0.9976,128.31,87,1246,0.0033,0.9665,0.8032,0.6094
2600,L1.v_lut,0.9233,34.66,16,845,0.0568,0.6423,0.2923,0.1424
2600,L1.out_proj,0.9858,32.46,21,598,0.0234,0.7924,0.3470,0.1343
2600,L1.residual_lut,1.0000,128.00,103,876,0.0005,0.9897,0.8889,0.6985
2600,L2.qkv_lut,0.9946,128.69,101,856,0.0005,0.9891,0.8857,0.7008
2600,L2.v_lut,0.9759,32.79,19,645,0.0321,0.7467,0.3312,0.1397
2600,L2.out_proj,0.9710,32.95,19,632,0.0349,0.7431,0.3261,0.1367
2600,L2.residual_lut,0.9990,128.13,90,1029,0.0020,0.9746,0.8252,0.6326
2600,L3.qkv_lut,0.9982,128.23,88,1164,0.0024,0.9718,0.8156,0.6208
2600,L3.v_lut,0.9416,33.98,17,1008,0.0536,0.6683,0.3047,0.1421
2600,L3.out_proj,0.9182,34.85,16,687,0.0606,0.6368,0.2986,0.1484
2600,L3.residual_lut,0.9998,128.03,93,994,0.0005,0.9893,0.8650,0.6599
2600,L4.qkv_lut,0.9901,129.28,93,1200,0.0067,0.9616,0.8341,0.6383
