seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,logstd,kl,tau
0,430,112721920,5042.670486111111,5776.40087890625,920.0309027777778,0.0001397469200060784,-1.4742121696472168,0.004759075585752726,0.08228470385074615
0,440,115343360,5040.471598877981,5800.443359375,917.9123422159888,0.0001343447044903603,-1.4880092144012451,0.004486274439841509,0.08242117613554001
0,450,117964800,5092.064310954063,5778.90625,924.6250883392227,0.00012899377774088948,-1.5010536909103394,0.004480491392314434,0.08270104229450226
0,460,120586240,5109.554878048781,5797.99560546875,925.3805595408895,0.0001237030922869661,-1.5131311416625977,0.00453795213252306,0.08290505409240723
0,470,123207680,5114.270422535211,5807.7021484375,926.4757042253522,0.00011848149986937494,-1.5253801345825195,0.004950103349983692,0.08311090618371964
0,480,125829120,5165.04407135362,5806.26220703125,932.4207764952781,0.00011333773663071365,-1.537668228149414,0.0044750915840268135,0.08329270780086517
0,490,128450560,5166.3183629119885,5828.53076171875,931.5472654835205,0.00010828040849912587,-1.5473244190216064,0.004335531499236822,0.08342815935611725
0,500,131072000,5155.004891684137,5832.70703125,928.5206149545772,0.00010331797678989386,-1.5568088293075562,0.004609774798154831,0.08357740193605423
0,510,133693440,5145.510218463707,5843.85888671875,926.3375616631431,9.845874404897978e-05,-1.562087893486023,0.0046605393290519714,0.08365996927022934
0,520,136314880,5153.216875871688,5835.80810546875,925.8793584379358,9.371084016220086e-05,-1.5677765607833862,0.004632174037396908,0.08370952308177948
0,530,138936320,5142.656859269762,5863.9658203125,922.694080113435,8.908220875327915e-05,-1.5730293989181519,0.004538281820714474,0.08391571789979935
0,540,141557760,5167.018658055256,5873.70361328125,926.1858629350556,8.458059389352199e-05,-1.5772380828857422,0.00400493573397398,0.08404846489429474
0,550,144179200,5163.310165975104,5903.23974609375,924.5314661134163,8.021352714537036e-05,-1.581648826599121,0.0037471321411430836,0.08418115973472595
0,560,146800640,5155.114586994728,5897.28271484375,923.6355008787347,7.598831496149118e-05,-1.585685133934021,0.003699295222759247,0.08437813818454742
0,570,149422080,5158.205302758868,5888.76416015625,922.8609817269796,7.191202646049642e-05,-1.5910489559173584,0.003750847652554512,0.08460451662540436
0,580,152043520,5210.987588652482,5891.99658203125,931.1609929078014,6.799148159974119e-05,-1.5939353704452515,0.003915730863809586,0.08474843204021454
0,590,154664960,5131.4283746556475,5921.90283203125,915.8436639118457,6.423323976498846e-05,-1.5964014530181885,0.0037763055879622698,0.08486812561750412
0,600,157286400,5131.557260078487,5888.828125,916.9254370317517,6.0643588796030915e-05,-1.5990605354309082,0.00357361463829875,0.08506564050912857
0,610,159907840,5187.787248787249,5927.998046875,923.7914067914068,5.722853446663111e-05,-1.60235595703125,0.0027457578107714653,0.08515920490026474
0,620,162529280,5135.735751295337,5930.49755859375,916.394127806563,5.399379043638068e-05,-1.6041555404663086,0.0032001640647649765,0.08540274947881699
0,630,165150720,5127.196428571428,5913.7470703125,914.0466472303207,5.094476869128981e-05,-1.606589674949646,0.0026452448219060898,0.08556278795003891
0,640,167772160,5177.354297693921,5920.03125,920.4318658280922,4.8086570489101014e-05,-1.6084561347961426,0.0025128929410129786,0.08573655784130096
0,650,170393600,5201.697723292469,5915.03076171875,926.4378283712784,4.542397782447601e-05,-1.6114047765731812,0.0025246923323720694,0.08577846735715866
0,660,173015040,5232.512947853849,5961.8154296875,931.0145441645974,4.2961445428335354e-05,-1.6140079498291016,0.0027630708646029234,0.0858965739607811
0,670,175636480,5220.517761033369,5917.9169921875,929.7506279153212,4.0703093314736736e-05,-1.6148195266723633,0.0022223733831197023,0.08600753545761108
0,680,178257920,5263.01243339254,5928.96533203125,936.3435168738898,3.8652699887761145e-05,-1.6164603233337402,0.0019634058699011803,0.08611863851547241
0,690,180879360,5242.9820926966295,5929.30517578125,930.6692415730337,3.6813695619940144e-05,-1.6186479330062866,0.0016936634201556444,0.08619897812604904
0,700,183500800,5287.502015390253,5928.947265625,937.705386588494,3.5189157312800215e-05,-1.6207456588745117,0.0017593323718756437,0.08624108135700226
0,710,186122240,5273.70188943317,5940.33544921875,934.3582925122463,3.378180294912734e-05,-1.622671365737915,0.0017278387676924467,0.08628935366868973
0,720,188743680,5266.926423770782,5955.453125,933.1966749204104,3.259398714556394e-05,-1.6234744787216187,0.0016943828668445349,0.08624041825532913
0,730,191365120,5310.5677997758685,5979.15283203125,939.6014194994397,3.162769721314651e-05,-1.6252081394195557,0.001915251836180687,0.08630186319351196
0,740,193986560,5296.998253580161,5996.24267578125,935.8840377226685,3.088454983237502e-05,-1.626013159751892,0.0014547465834766626,0.08643730729818344
0,750,196608000,5323.6566478076375,5946.3798828125,940.8051626591231,3.0365788348376832e-05,-1.6265740394592285,0.0019472668645903468,0.08658603578805923
