step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
33000,3.574989,1.149761,11.641512,16.096323,16.666506,16.546984,16.943531,18.731184,0.592744,0.820168,0.849121,0.843484,0.863551,0.953998,9.400847,18.954165,16.517839,20.510489,20.111238,26.341320,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
33500,3.566075,1.148934,11.647713,16.100216,16.673933,16.548098,16.945202,18.731426,0.593058,0.820366,0.849498,0.843540,0.863636,0.953995,9.402899,18.961687,16.528801,20.538790,20.132854,26.380255,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
34000,3.565303,1.147896,11.653606,16.102549,16.675306,16.551489,16.947573,18.734560,0.593364,0.820478,0.849567,0.843709,0.863752,0.954144,9.405835,18.972532,16.540363,20.564507,20.152979,26.417288,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
34500,3.559671,1.147191,11.659494,16.105143,16.682184,16.550987,16.947697,18.737446,0.593667,0.820609,0.849909,0.843684,0.863746,0.954281,9.411277,18.982492,16.548168,20.592258,20.173237,26.452044,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
35000,3.565696,1.146410,11.664466,16.105631,16.686449,16.555401,16.952724,18.740112,0.593920,0.820626,0.850114,0.843907,0.863992,0.954411,9.417820,18.991131,16.560362,20.616289,20.194193,26.484810,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
35500,3.557700,1.146011,11.671800,16.113792,16.693897,16.555113,16.956341,18.743677,0.594293,0.821049,0.850492,0.843890,0.864177,0.954583,9.424518,19.000563,16.570312,20.639570,20.213017,26.517611,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
36000,3.552262,1.145006,11.683153,16.117329,16.697420,16.558542,16.955971,18.745676,0.594873,0.821229,0.850664,0.844061,0.864158,0.954676,9.428459,19.010965,16.582432,20.661833,20.233122,26.550501,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
36500,3.566887,1.143895,11.690392,16.119740,16.700699,16.562767,16.960556,18.748569,0.595242,0.821352,0.850832,0.844274,0.864391,0.954814,9.437324,19.018011,16.593456,20.684704,20.253876,26.581060,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
37000,3.535784,1.143320,11.697807,16.126030,16.709238,16.567497,16.963661,18.752047,0.595616,0.821668,0.851260,0.844509,0.864548,0.954986,9.443594,19.025909,16.601662,20.705694,20.271042,26.609528,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
37500,3.547892,1.143509,11.711512,16.131365,16.714214,16.570885,16.968718,18.755672,0.596323,0.821934,0.851513,0.844679,0.864802,0.955170,9.450817,19.034285,16.609653,20.725584,20.289164,26.635603,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
